Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error,,Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error,,Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error
25_NWChem_1JCH_mulliken,SP3,[213.1356:],213.1356,208.8,-4.3356,4.3356,,157_NWChem_1JCH_mulliken,SP2,[210.8791:],210.8791,205.5,-5.3791,5.3791,,,,,,,,115.3582
17_NWChem_1JCH_mulliken,SP3,[208.7707:208.7707:],208.7707,205,-3.7707,3.7707,,165_NWChem_1JCH_mulliken,SP2,[181.862:],181.862,187.2,5.338,5.338,,,,,,,,11.53582
23_NWChem_1JCH_mulliken,SP3,[215.5743:215.5743:],215.5743,212,-3.5743,3.5743,,110_NWChem_1JCH_mulliken,SP2,[171.8438:],171.8438,176.7,4.8562,4.8562,,,,,,,,
74_NWChem_1JCH_mulliken,SP3,[134.8132:125.6119:125.6119:134.8132:],130.21255,133.7,3.48745,3.48745,,108_NWChem_1JCH_mulliken,SP2,[157.2348:],157.2348,162,4.7652,4.7652,,,,,,,,
29_NWChem_1JCH_mulliken,SP3,[218.4595:],218.4595,215,-3.4595,3.4595,,112_NWChem_1JCH_mulliken,SP2,[177.254:177.254:],177.254,182,4.746,4.746,,,,,,,,
75_NWChem_1JCH_mulliken,SP3,[138.5122:137.658:138.5399:137.6462:],138.089075,135,-3.089075,3.089075,,123_NWChem_1JCH_mulliken,SP2,[226.7146:],226.7146,222,-4.7146,4.7146,,,,,,,,
52_NWChem_1JCH_mulliken,SP3,[180.7419:180.7419:],180.7419,178,-2.7419,2.7419,,147_NWChem_1JCH_mulliken,SP2,[165.2022:165.2022:],165.2022,169.9,4.6978,4.6978,,,,,,,,
22_NWChem_1JCH_mulliken,SP3,[153.3308:153.3308:],153.3308,156,2.6692,2.6692,,92_NWChem_1JCH_mulliken,SP2,[150.4357:152.2995:],151.3676,156,4.6324,4.6324,,,,,,,,
44_NWChem_1JCH_mulliken,SP3,[121.0681:121.0564:121.0683:121.0646:121.0657:121.0773:121.0709:121.0583:121.0503:121.0508:121.0482:121.076:],121.0629083,118.4,-2.6629083,2.6629083,,115_NWChem_1JCH_mulliken,SP2,[199.4837:],199.4837,194.9,-4.5837,4.5837,,,,,,,,
218_NWChem_1JCH_mulliken,SP3,[128.3915:129.4356:128.3915:129.4356:],128.91355,126.3,-2.61355,2.61355,,125_NWChem_1JCH_mulliken,SP2,[262.5094:],262.5094,267,4.4906,4.4906,,,,,,,,
71_NWChem_1JCH_mulliken,SP3,[135.504:137.5094:],136.5067,134,-2.5067,2.5067,,103_NWChem_1JCH_mulliken,SP2,[225.4291:225.4291:],225.4291,221,-4.4291,4.4291,,,,,,,,
25_NWChem_1JCH_mulliken,SP3,[217.4693:],217.4693,215,-2.4693,2.4693,,87_NWChem_1JCH_mulliken,SP2,[232.613:232.613:],232.613,228.2,-4.413,4.413,,,,,,,,
25_NWChem_1JCH_mulliken,SP3,[168.5716:168.5741:],168.57285,171,2.42715,2.42715,,111_NWChem_1JCH_mulliken,SP2,[173.0147:176.9625:],174.9886,171,-3.9886,3.9886,,,,,,,,
14_NWChem_1JCH_mulliken,SP3,[125.8642:124.9139:127.6132:123.3063:],125.4244,123,-2.4244,2.4244,,157_NWChem_1JCH_mulliken,SP2,[192.5695:],192.5695,188.6,-3.9695,3.9695,,,,,,,,
216_NWChem_1JCH_mulliken,SP3,[131.3247:130.2129:129.2743:132.3085:],130.7801,133.2,2.4199,2.4199,,184_NWChem_1JCH_mulliken,SP2,[176.5412:],176.5412,180.5,3.9588,3.9588,,,,,,,,
217_NWChem_1JCH_mulliken,SP3,[126.2062:131.1536:127.1742:131.6079:],129.035475,131.4,2.364525,2.364525,,153_NWChem_1JCH_mulliken,SP2,[172.6024:172.6024:],172.6024,168.8,-3.8024,3.8024,,,,,,,,
20_NWChem_1JCH_mulliken,SP3,[130.6553:130.6553:],130.6553,133,2.3447,2.3447,,60_NWChem_1JCH_mulliken,SP2,[153.2648:],153.2648,157,3.7352,3.7352,,,,,,,,
217_NWChem_1JCH_mulliken,SP3,[133.0835:140.6735:143.8812:129.4877:],136.781475,139.1,2.318525,2.318525,,98_NWChem_1JCH_mulliken,SP2,[173.7227:173.7227:],173.7227,170,-3.7227,3.7227,,,,,,,,
76_NWChem_1JCH_mulliken,SP3,[125.0215:126.666:125.0215:126.666:],125.84375,128,2.15625,2.15625,,159_NWChem_1JCH_mulliken,SP2,[212.2223:],212.2223,208.6,-3.6223,3.6223,,,,,,,,
18_NWChem_1JCH_mulliken,SP3,[128.5902:131.136:128.5902:131.136:128.5902:131.136:128.5902:131.136:],129.8631,132,2.1369,2.1369,,164_NWChem_1JCH_mulliken,SP2,[193.6045:],193.6045,190,-3.6045,3.6045,,,,,,,,
16_NWChem_1JCH_mulliken,SP3,[157.965:159.8077:],158.88635,161,2.11365,2.11365,,151_NWChem_1JCH_mulliken,SP2,[184.4652:],184.4652,188,3.5348,3.5348,,,,,,,,
22_NWChem_1JCH_mulliken,SP3,[128.2653:125.9519:],127.1086,125,-2.1086,2.1086,,158_NWChem_1JCH_mulliken,SP2,[197.8079:],197.8079,194.3,-3.5079,3.5079,,,,,,,,
15_NWChem_1JCH_mulliken,SP3,[178.0699:178.1418:],178.10585,176,-2.10585,2.10585,,163_NWChem_1JCH_mulliken,SP2,[234.6004:],234.6004,231.1,-3.5004,3.5004,,,,,,,,
72_NWChem_1JCH_mulliken,SP3,[132.5721:132.4521:],132.5121,134.6,2.0879,2.0879,,166_NWChem_1JCH_mulliken,SP2,[160.8096:],160.8096,164.3,3.4904,3.4904,,,,,,,,
47_NWChem_1JCH_mulliken,SP3,[133.4263:133.6863:125.6528:133.5618:133.5369:125.6923:133.5673:133.5689:125.6601:],130.9280778,133,2.0719222,2.0719222,,108_NWChem_1JCH_mulliken,SP2,[162.4891:],162.4891,159,-3.4891,3.4891,,,,,,,,
203_NWChem_1JCH_mulliken,SP3,[143.6719:134.346:143.4021:],140.4733333,142.5,2.0266667,2.0266667,,159_NWChem_1JCH_mulliken,SP2,[212.0329:],212.0329,208.6,-3.4329,3.4329,,,,,,,,
87_NWChem_1JCH_mulliken,SP3,[169.5486:169.5486:],169.5486,167.6,-1.9486,1.9486,,152_NWChem_1JCH_mulliken,SP2,[151.7314:],151.7314,155.1,3.3686,3.3686,,,,,,,,
138_NWChem_1JCH_mulliken,SP3,[126.0853:131.7335:131.7335:126.0853:],128.9094,127,-1.9094,1.9094,,117_NWChem_1JCH_mulliken,SP2,[175.3217:175.3217:],175.3217,172,-3.3217,3.3217,,,,,,,,
36_NWChem_1JCH_mulliken,SP3,[141.3248:146.554:146.5535:],144.8107667,146.7,1.8892333,1.8892333,,155_NWChem_1JCH_mulliken,SP2,[205.1156:205.1156:],205.1156,201.8,-3.3156,3.3156,,,,,,,,
45_NWChem_1JCH_mulliken,SP3,[128.4604:128.4543:129.657:128.4546:128.4601:129.6573:128.4602:129.6573:128.4544:],128.8572889,127,-1.8572889,1.8572889,,200_NWChem_1JCH_mulliken,SP2,[165.2833:],165.2833,162,-3.2833,3.2833,,,,,,,,
1_NWChem_1JCH_mulliken,SP3,[126.8375:126.8317:126.8365:126.8375:],126.8358,125,-1.8358,1.8358,,118_NWChem_1JCH_mulliken,SP2,[169.1196:],169.1196,172.4,3.2804,3.2804,,,,,,,,
32_NWChem_1JCH_mulliken,SP3,[134.2763:134.2763:134.2763:],134.2763,136.1,1.8237,1.8237,,166_NWChem_1JCH_mulliken,SP2,[161.0369:],161.0369,164.3,3.2631,3.2631,,,,,,,,
16_NWChem_1JCH_mulliken,SP3,[125.6811:130.6917:130.7149:125.6414:],128.182275,130,1.817725,1.817725,,80_NWChem_1JCH_mulliken,SP2,[161.8217:],161.8217,165,3.1783,3.1783,,,,,,,,
223_NWChem_1JCH_mulliken,SP3,[134.8968:143.7304:143.7304:],140.7858667,139,-1.7858667,1.7858667,,144_NWChem_1JCH_mulliken,SP2,[164.0785:],164.0785,161,-3.0785,3.0785,,,,,,,,
17_NWChem_1JCH_mulliken,SP3,[170.7744:170.7744:],170.7744,169,-1.7744,1.7744,,137_NWChem_1JCH_mulliken,SP2,[158.9349:158.9349:],158.9349,162,3.0651,3.0651,,,,,,,,
56_NWChem_1JCH_mulliken,SP3,[240.861:],240.861,239.1,-1.761,1.761,,156_NWChem_1JCH_mulliken,SP2,[188.5125:],188.5125,185.5,-3.0125,3.0125,,,,,,,,
39_NWChem_1JCH_mulliken,SP3,[137.7195:142.4298:137.7195:],139.2896,141,1.7104,1.7104,,169_NWChem_1JCH_mulliken,SP2,[163.9468:],163.9468,161,-2.9468,2.9468,,,,,,,,
73_NWChem_1JCH_mulliken,SP3,[136.0679:135.3549:],135.7114,137.4,1.6886,1.6886,,116_NWChem_1JCH_mulliken,SP2,[162.1203:],162.1203,159.2,-2.9203,2.9203,,,,,,,,
51_NWChem_1JCH_mulliken,SP3,[167.7541:167.7145:],167.7343,169.4,1.6657,1.6657,,200_NWChem_1JCH_mulliken,SP2,[161.8905:],161.8905,159,-2.8905,2.8905,,,,,,,,
23_NWChem_1JCH_mulliken,SP3,[164.5663:164.5663:],164.5663,163,-1.5663,1.5663,,100_NWChem_1JCH_mulliken,SP2,[175.8505:175.8505:175.8505:175.8505:],175.8505,173,-2.8505,2.8505,,,,,,,,
29_NWChem_1JCH_mulliken,SP3,[168.4779:168.486:],168.48195,170,1.51805,1.51805,,83_NWChem_1JCH_mulliken,SP2,[154.7465:154.7541:],154.7503,151.9,-2.8503,2.8503,,,,,,,,
221_NWChem_1JCH_mulliken,SP3,[134.8367:141.3156:142.3492:134.8367:141.3156:142.3492:],139.5005,138,-1.5005,1.5005,,166_NWChem_1JCH_mulliken,SP2,[160.057:],160.057,162.9,2.843,2.843,,,,,,,,
37_NWChem_1JCH_mulliken,SP3,[141.3189:142.3668:134.8025:141.3167:142.3739:134.7971:],139.4959833,138,-1.4959833,1.4959833,,99_NWChem_1JCH_mulliken,SP2,[168.8357:168.8435:],168.8396,166,-2.8396,2.8396,,,,,,,,
75_NWChem_1JCH_mulliken,SP3,[124.8778:127.5485:124.897:127.5128:],126.209025,127.7,1.490975,1.490975,,94_NWChem_1JCH_mulliken,SP2,[171.9318:171.9318:],171.9318,169.1,-2.8318,2.8318,,,,,,,,
101_NWChem_1JCH_mulliken,SP3,[153.5552:153.5552:],153.5552,155,1.4448,1.4448,,153_NWChem_1JCH_mulliken,SP2,[186.1032:186.1032:],186.1032,183.3,-2.8032,2.8032,,,,,,,,
207_NWChem_1JCH_mulliken,SP3,[123.274:136.1546:123.2619:],127.5635,129,1.4365,1.4365,,144_NWChem_1JCH_mulliken,SP2,[162.2413:],162.2413,165,2.7587,2.7587,,,,,,,,
49_NWChem_1JCH_mulliken,SP3,[142.252:136.7376:136.7376:142.252:136.7376:136.7376:],138.5757333,140,1.4242667,1.4242667,,144_NWChem_1JCH_mulliken,SP2,[159.2792:],159.2792,162,2.7208,2.7208,,,,,,,,
64_NWChem_1JCH_mulliken,SP3,[124.1012:124.9894:124.9894:],124.6933333,126.1,1.4066667,1.4066667,,182_NWChem_1JCH_mulliken,SP2,[196.8178:196.8178:],196.8178,199.5,2.6822,2.6822,,,,,,,,
23_NWChem_1JCH_mulliken,SP3,[130.6347:130.6311:130.6311:130.6347:],130.6329,132,1.3671,1.3671,,102_NWChem_1JCH_mulliken,SP2,[175.4626:175.4626:],175.4626,172.8,-2.6626,2.6626,,,,,,,,
17_NWChem_1JCH_mulliken,SP3,[151.6498:151.6498:],151.6498,153,1.3502,1.3502,,120_NWChem_1JCH_mulliken,SP2,[171.1227:],171.1227,173.7,2.5773,2.5773,,,,,,,,
11_NWChem_1JCH_mulliken,SP3,[123.8484:122.6479:123.3249:124.6251:123.3249:124.6251:122.6737:122.4474:122.9275:122.736:122.6479:123.8484:122.736:122.9275:122.4474:122.6737:],123.1538625,124.5,1.3461375,1.3461375,,141_NWChem_1JCH_mulliken,SP2,[158.4301:],158.4301,161,2.5699,2.5699,,,,,,,,
19_NWChem_1JCH_mulliken,SP3,[132.9555:132.9534:],132.95445,134.3,1.34555,1.34555,,80_NWChem_1JCH_mulliken,SP2,[163.058:],163.058,160.5,-2.558,2.558,,,,,,,,
73_NWChem_1JCH_mulliken,SP3,[147.5333:148.9577:147.5333:148.9577:],148.2455,149.5,1.2545,1.2545,,78_NWChem_1JCH_mulliken,SP2,[151.9878:],151.9878,154.5,2.5122,2.5122,,,,,,,,
33_NWChem_1JCH_mulliken,SP3,[128.9058:133.1742:133.1742:],131.7514,133,1.2486,1.2486,,146_NWChem_1JCH_mulliken,SP2,[160.5255:],160.5255,163,2.4745,2.4745,,,,,,,,
15_NWChem_1JCH_mulliken,SP3,[164.0498:153.4531:],158.75145,160,1.24855,1.24855,,148_NWChem_1JCH_mulliken,SP2,[205.1646:],205.1646,202.7,-2.4646,2.4646,,,,,,,,
102_NWChem_1JCH_mulliken,SP3,[206.534:206.3418:],206.4379,205.2,-1.2379,1.2379,,90_NWChem_1JCH_mulliken,SP2,[156.0545:156.0545:],156.0545,158.4,2.3455,2.3455,,,,,,,,
27_NWChem_1JCH_mulliken,SP3,[154.9931:155.0171:155.0222:155.031:155.031:155.0222:155.0171:154.9931:],155.01585,153.8,-1.21585,1.21585,,144_NWChem_1JCH_mulliken,SP2,[159.6557:],159.6557,162,2.3443,2.3443,,,,,,,,
29_NWChem_1JCH_mulliken,SP3,[166.2045:166.2005:],166.2025,165,-1.2025,1.2025,,115_NWChem_1JCH_mulliken,SP2,[164.9371:],164.9371,162.6,-2.3371,2.3371,,,,,,,,
6_NWChem_1JCH_mulliken,SP3,[161.4416:161.4416:161.4416:161.4416:161.4416:161.4416:],161.4416,160.3,-1.1416,1.1416,,148_NWChem_1JCH_mulliken,SP2,[180.4788:180.4788:],180.4788,182.8,2.3212,2.3212,,,,,,,,
53_NWChem_1JCH_mulliken,SP3,[158.9797:158.9797:],158.9797,160,1.0203,1.0203,,111_NWChem_1JCH_mulliken,SP2,[161.2576:],161.2576,159,-2.2576,2.2576,,,,,,,,
25_NWChem_1JCH_mulliken,SP3,[166.0089:166.0088:],166.00885,165,-1.00885,1.00885,,85_NWChem_1JCH_mulliken,SP2,[170.0509:170.0509:170.1043:170.0235:],170.0574,167.8,-2.2574,2.2574,,,,,,,,
43_NWChem_1JCH_mulliken,SP3,[148.0927:148.0927:148.0927:],148.0927,149.1,1.0073,1.0073,,188_NWChem_1JCH_mulliken,SP2,[161.2438:161.243:],161.2434,163.5,2.2566,2.2566,,,,,,,,
16_NWChem_1JCH_mulliken,SP3,[127.0986:130.903:],129.0008,130,0.9992,0.9992,,119_NWChem_1JCH_mulliken,SP2,[166.3609:],166.3609,168.6,2.2391,2.2391,,,,,,,,
70_NWChem_1JCH_mulliken,SP3,[174.7062:174.7062:174.7062:174.7062:],174.7062,175.7,0.9938,0.9938,,186_NWChem_1JCH_mulliken,SP2,[164.517:],164.517,162.3,-2.217,2.217,,,,,,,,
3_NWChem_1JCH_mulliken,SP3,[124.4147:124.4147:],124.4147,125.4,0.9853,0.9853,,106_NWChem_1JCH_mulliken,SP2,[142.5076:142.4992:142.5116:142.5239:],142.510575,140.3,-2.210575,2.210575,,,,,,,,
210_NWChem_1JCH_mulliken,SP3,[126.3918:134.2242:126.4485:],129.0215,130,0.9785,0.9785,,184_NWChem_1JCH_mulliken,SP2,[178.6942:],178.6942,176.5,-2.1942,2.1942,,,,,,,,
13_NWChem_1JCH_mulliken,SP3,[123.4692:123.3393:123.4692:123.3393:124.1651:122.5426:123.381:123.381:122.5426:124.1651:123.4692:123.3393:123.4692:123.3393:122.5426:124.1651:123.381:123.381:124.1651:122.5426:],123.37944,124.3,0.92056,0.92056,,168_NWChem_1JCH_mulliken,SP2,[158.8784:],158.8784,161,2.1216,2.1216,,,,,,,,
12_NWChem_1JCH_mulliken,SP3,[123.7765:121.835:122.8337:123.0339:122.2067:123.3359:124.3416:122.9596:123.611:123.611:124.3416:122.9596:123.3359:122.2067:123.7765:121.835:122.8337:123.0339:],123.1037667,124,0.8962333,0.8962333,,188_NWChem_1JCH_mulliken,SP2,[161.3963:161.396:],161.39615,163.5,2.10385,2.10385,,,,,,,,
20_NWChem_1JCH_mulliken,SP3,[166.8517:166.8517:],166.8517,166,-0.8517,0.8517,,131_NWChem_1JCH_mulliken,SP2,[150.3055:],150.3055,152.4,2.0945,2.0945,,,,,,,,
25_NWChem_1JCH_mulliken,SP3,[160.3536:],160.3536,161.2,0.8464,0.8464,,131_NWChem_1JCH_mulliken,SP2,[150.3057:],150.3057,152.4,2.0943,2.0943,,,,,,,,
5_NWChem_1JCH_mulliken,SP3,[124.1206:124.1474:124.1349:124.1309:124.1317:124.1362:124.1323:124.1341:124.1295:124.1389:124.1315:124.1497:],124.1348083,123.3,-0.8348083,0.8348083,,164_NWChem_1JCH_mulliken,SP2,[189.0859:],189.0859,187,-2.0859,2.0859,,,,,,,,
65_NWChem_1JCH_mulliken,SP3,[127.6228:127.6181:129.2557:],128.1655333,129,0.8344667,0.8344667,,151_NWChem_1JCH_mulliken,SP2,[185.4781:],185.4781,187.5,2.0219,2.0219,,,,,,,,
29_NWChem_1JCH_mulliken,SP3,[150.3327:],150.3327,149.5,-0.8327,0.8327,,168_NWChem_1JCH_mulliken,SP2,[162.0062:],162.0062,164,1.9938,1.9938,,,,,,,,
14_NWChem_1JCH_mulliken,SP3,[158.4431:159.9041:],159.1736,160,0.8264,0.8264,,162_NWChem_1JCH_mulliken,SP2,[189.0771:],189.0771,187.1,-1.9771,1.9771,,,,,,,,
71_NWChem_1JCH_mulliken,SP3,[148.2747:133.3629:148.2724:133.3664:],140.8191,140,-0.8191,0.8191,,200_NWChem_1JCH_mulliken,SP2,[159.0685:],159.0685,161,1.9315,1.9315,,,,,,,,
68_NWChem_1JCH_mulliken,SP3,[162.9646:174.652:174.6521:162.9668:],168.808875,168,-0.808875,0.808875,,130_NWChem_1JCH_mulliken,SP2,[158.0751:158.0751:158.0751:158.0751:],158.0751,160,1.9249,1.9249,,,,,,,,
99_NWChem_1JCH_mulliken,SP3,[145.8098:145.8051:],145.80745,145,-0.80745,0.80745,,169_NWChem_1JCH_mulliken,SP2,[160.08:],160.08,162,1.92,1.92,,,,,,,,
216_NWChem_1JCH_mulliken,SP3,[147.0617:139.3011:142.0622:146.7724:],143.79935,144.6,0.80065,0.80065,,60_NWChem_1JCH_mulliken,SP2,[153.8063:],153.8063,151.9,-1.9063,1.9063,,,,,,,,
21_NWChem_1JCH_mulliken,SP3,[163.2186:163.2186:],163.2186,164,0.7814,0.7814,,170_NWChem_1JCH_mulliken,SP2,[158.0944:],158.0944,160,1.9056,1.9056,,,,,,,,
66_NWChem_1JCH_mulliken,SP3,[130.6245:130.6245:130.6245:],130.6245,131.4,0.7755,0.7755,,88_NWChem_1JCH_mulliken,SP2,[170.4911:170.4911:],170.4911,168.6,-1.8911,1.8911,,,,,,,,
22_NWChem_1JCH_mulliken,SP3,[125.4723:126.0176:125.4723:126.0176:],125.74495,125,-0.74495,0.74495,,146_NWChem_1JCH_mulliken,SP2,[159.1428:],159.1428,161,1.8572,1.8572,,,,,,,,
55_NWChem_1JCH_mulliken,SP3,[196.5426:],196.5426,195.8,-0.7426,0.7426,,81_NWChem_1JCH_mulliken,SP2,[150.0551:],150.0551,151.9,1.8449,1.8449,,,,,,,,
101_NWChem_1JCH_mulliken,SP3,[144.8073:144.8073:],144.8073,144.1,-0.7073,0.7073,,111_NWChem_1JCH_mulliken,SP2,[160.8388:],160.8388,159,-1.8388,1.8388,,,,,,,,
48_NWChem_1JCH_mulliken,SP3,[134.8745:140.6195:140.6195:134.8745:140.6195:140.6195:],138.7045,138,-0.7045,0.7045,,166_NWChem_1JCH_mulliken,SP2,[162.4689:],162.4689,164.3,1.8311,1.8311,,,,,,,,
22_NWChem_1JCH_mulliken,SP3,[203.8092:204.8093:],204.30925,205,0.69075,0.69075,,111_NWChem_1JCH_mulliken,SP2,[161.1772:],161.1772,163,1.8228,1.8228,,,,,,,,
16_NWChem_1JCH_mulliken,SP3,[166.6514:166.704:],166.6777,166,-0.6777,0.6777,,78_NWChem_1JCH_mulliken,SP2,[161.7795:],161.7795,160,-1.7795,1.7795,,,,,,,,
137_NWChem_1JCH_mulliken,SP3,[137.3463:137.3276:137.3463:137.3276:],137.33695,138,0.66305,0.66305,,136_NWChem_1JCH_mulliken,SP2,[157.2213:157.2213:],157.2213,159,1.7787,1.7787,,,,,,,,
14_NWChem_1JCH_mulliken,SP3,[123.853:126.9033:127.9453:122.6669:],125.342125,126,0.657875,0.657875,,165_NWChem_1JCH_mulliken,SP2,[211.227:],211.227,213,1.773,1.773,,,,,,,,
139_NWChem_1JCH_mulliken,SP3,[123.5912:127.1412:123.5999:127.1182:],125.362625,126,0.637375,0.637375,,91_NWChem_1JCH_mulliken,SP2,[154.5013:154.5013:],154.5013,156.2,1.6987,1.6987,,,,,,,,
210_NWChem_1JCH_mulliken,SP3,[146.0012:144.1155:146.0063:],145.3743333,146,0.6256667,0.6256667,,176_NWChem_1JCH_mulliken,SP2,[161.1114:],161.1114,162.8,1.6886,1.6886,,,,,,,,
218_NWChem_1JCH_mulliken,SP3,[142.3996:143.0285:143.0285:142.3996:],142.71405,142.1,-0.61405,0.61405,,156_NWChem_1JCH_mulliken,SP2,[187.1737:],187.1737,185.5,-1.6737,1.6737,,,,,,,,
99_NWChem_1JCH_mulliken,SP3,[136.5959:],136.5959,136,-0.5959,0.5959,,187_NWChem_1JCH_mulliken,SP2,[164.5538:],164.5538,166.2,1.6462,1.6462,,,,,,,,
14_NWChem_1JCH_mulliken,SP3,[159.9772:157.1217:],158.54945,158,-0.54945,0.54945,,152_NWChem_1JCH_mulliken,SP2,[156.4647:],156.4647,158.1,1.6353,1.6353,,,,,,,,
189_NWChem_1JCH_mulliken,SP3,[141.444:140.1004:140.1004:141.444:140.1004:140.1004:],140.5482667,140,-0.5482667,0.5482667,,187_NWChem_1JCH_mulliken,SP2,[172.0227:],172.0227,170.4,-1.6227,1.6227,,,,,,,,
9_NWChem_1JCH_mulliken,SP3,[126.6304:122.5326:122.5321:126.6313:122.5324:126.631:122.5326:126.6304:126.6313:122.5321:126.631:122.5324:],124.5816333,125.1,0.5183667,0.5183667,,168_NWChem_1JCH_mulliken,SP2,[159.4279:],159.4279,161,1.5721,1.5721,,,,,,,,
72_NWChem_1JCH_mulliken,SP3,[145.729:148.291:145.7505:148.2681:],147.00965,146.5,-0.50965,0.50965,,157_NWChem_1JCH_mulliken,SP2,[190.1568:],190.1568,188.6,-1.5568,1.5568,,,,,,,,
102_NWChem_1JCH_mulliken,SP3,[168.3061:168.3061:],168.3061,168.8,0.4939,0.4939,,170_NWChem_1JCH_mulliken,SP2,[154.446:],154.446,156,1.554,1.554,,,,,,,,
31_NWChem_1JCH_mulliken,SP3,[126.9933:126.3491:135.1955:],129.5126333,130,0.4873667,0.4873667,,98_NWChem_1JCH_mulliken,SP2,[167.55:167.55:],167.55,166,-1.55,1.55,,,,,,,,
222_NWChem_1JCH_mulliken,SP3,[126.68:126.6847:135.2057:],129.5234667,130,0.4765333,0.4765333,,61_NWChem_1JCH_mulliken,SP2,[157.7421:157.7421:157.7421:157.7421:],157.7421,156.2,-1.5421,1.5421,,,,,,,,
62_NWChem_1JCH_mulliken,SP3,[124.9369:125.8297:125.8297:],125.5321,126,0.4679,0.4679,,170_NWChem_1JCH_mulliken,SP2,[157.4591:],157.4591,159,1.5409,1.5409,,,,,,,,
60_NWChem_1JCH_mulliken,SP3,[125.8523:126.1264:126.1264:],126.0350333,125.6,-0.4350333,0.4350333,,112_NWChem_1JCH_mulliken,SP2,[160.504:160.504:],160.504,159,-1.504,1.504,,,,,,,,
8_NWChem_1JCH_mulliken,SP3,[126.2034:130.1403:124.9537:130.5677:128.535:128.4248:130.526:124.9716:126.2767:130.0776:],128.06768,128.5,0.43232,0.43232,,169_NWChem_1JCH_mulliken,SP2,[160.4994:],160.4994,162,1.5006,1.5006,,,,,,,,
7_NWChem_1JCH_mulliken,SP3,[133.2233:133.113:133.113:133.2233:133.113:133.2233:133.2233:133.113:],133.16815,133.6,0.43185,0.43185,,116_NWChem_1JCH_mulliken,SP2,[163.6972:],163.6972,162.2,-1.4972,1.4972,,,,,,,,
