Mol_ID,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error
106_NWChem_1JCH_mulliken,[142.5076:142.4992:142.5116:142.5239:],142.510575,140.3,2.210575
184_NWChem_1JCH_mulliken,[178.6942:],178.6942,176.5,2.1942
164_NWChem_1JCH_mulliken,[189.0859:],189.0859,187,2.0859
162_NWChem_1JCH_mulliken,[189.0771:],189.0771,187.1,1.9771
60_NWChem_1JCH_mulliken,[153.8063:],153.8063,151.9,1.9063
88_NWChem_1JCH_mulliken,[170.4911:170.4911:],170.4911,168.6,1.8911
111_NWChem_1JCH_mulliken,[160.8388:],160.8388,159,1.8388
78_NWChem_1JCH_mulliken,[161.7795:],161.7795,160,1.7795
156_NWChem_1JCH_mulliken,[187.1737:],187.1737,185.5,1.6737
187_NWChem_1JCH_mulliken,[172.0227:],172.0227,170.4,1.6227
157_NWChem_1JCH_mulliken,[190.1568:],190.1568,188.6,1.5568
98_NWChem_1JCH_mulliken,[167.55:167.55:],167.55,166,1.55
61_NWChem_1JCH_mulliken,[157.7421:157.7421:157.7421:157.7421:],157.7421,156.2,1.5421
169_NWChem_1JCH_mulliken,[163.9468:],160.54,159,1.54
112_NWChem_1JCH_mulliken,[160.504:160.504:],160.504,159,1.504
116_NWChem_1JCH_mulliken,[163.6972:],163.6972,162.2,1.4972
82_NWChem_1JCH_mulliken,[149.4845:],149.4845,148,1.4845
163_NWChem_1JCH_mulliken,[196.7829:],196.7829,195.3,1.4829
77_NWChem_1JCH_mulliken,[160.6603:160.6603:],160.6603,159.2,1.4603
160_NWChem_1JCH_mulliken,[218.4062:],218.4062,217,1.4062
176_NWChem_1JCH_mulliken,[169.4964:169.4899:],169.49315,168.1,1.39315
80_NWChem_1JCH_mulliken,[162.0832:],162.0832,160.7,1.3832
156_NWChem_1JCH_mulliken,[178.0606:],178.0606,176.7,1.3606
155_NWChem_1JCH_mulliken,[175.9995:176.0035:],176.0015,174.7,1.3015
77_NWChem_1JCH_mulliken,[156.1271:156.1271:],156.1271,154.9,1.2271
79_NWChem_1JCH_mulliken,[154.5172:],154.5172,153.3,1.2172
94_NWChem_1JCH_mulliken,[165.0961:165.0961:],165.0961,163.9,1.1961
89_NWChem_1JCH_mulliken,[162.7935:162.7935:],162.7935,161.6,1.1935
188_NWChem_1JCH_mulliken,[166.6464:166.6458:],166.6461,165.5,1.1461
133_NWChem_1JCH_mulliken,[178.5204:178.523:],178.5217,177.4,1.1217
146_NWChem_1JCH_mulliken,[179.0983:],179.0983,178,1.0983
131_NWChem_1JCH_mulliken,[169.3842:],169.3842,168.3,1.0842
131_NWChem_1JCH_mulliken,[169.384:],169.384,168.3,1.084
154_NWChem_1JCH_mulliken,[168.0809:168.0809:],168.0809,167,1.0809
162_NWChem_1JCH_mulliken,[184.5722:],184.5722,183.5,1.0722
110_NWChem_1JCH_mulliken,[164.2431:],164.2431,163.2,1.0431
107_NWChem_1JCH_mulliken,[163.3012:],163.3012,162.3,1.0012
151_NWChem_1JCH_mulliken,[208.0556:],208.0556,207.1,0.9556
106_NWChem_1JCH_mulliken,[157.4449:],157.4449,156.5,0.9449
106_NWChem_1JCH_mulliken,[157.4432:],157.4432,156.5,0.9432
106_NWChem_1JCH_mulliken,[157.4426:],157.4426,156.5,0.9426
115_NWChem_1JCH_mulliken,[161.8418:],161.8418,160.9,0.9418
106_NWChem_1JCH_mulliken,[157.4395:],157.4395,156.5,0.9395
96_NWChem_1JCH_mulliken,[154.5055:154.508:],154.50675,153.6,0.90675
141_NWChem_1JCH_mulliken,[156.9062:156.9062:],156.9062,156,0.9062
79_NWChem_1JCH_mulliken,[158.1045:],158.1045,157.2,0.9045
175_NWChem_1JCH_mulliken,[161.3879:],161.3879,160.5,0.8879
180_NWChem_1JCH_mulliken,[165.777:165.777:],165.777,164.9,0.877
177_NWChem_1JCH_mulliken,[159.2775:159.2775:],159.2775,158.5,0.7775
141_NWChem_1JCH_mulliken,[157.7768:157.7768:],157.7768,157,0.7768
111_NWChem_1JCH_mulliken,[163.7566:],163.7566,163,0.7566
161_NWChem_1JCH_mulliken,[188.3219:],188.3219,187.6,0.7219
138_NWChem_1JCH_mulliken,[156.212:156.212:],156.212,155.5,0.712
165_NWChem_1JCH_mulliken,[206.9582:],207.7,207,0.7
185_NWChem_1JCH_mulliken,[169.0851:169.0851:169.0851:169.0851:],169.0851,168.4,0.6851
105_NWChem_1JCH_mulliken,[255.6601:255.6601:],255.6601,255,0.6601
174_NWChem_1JCH_mulliken,[157.9234:165.3494:],161.6364,161,0.6364
181_NWChem_1JCH_mulliken,[163.2262:],163.2262,162.6,0.6262
152_NWChem_1JCH_mulliken,[170.3948:],170.3948,169.8,0.5948
182_NWChem_1JCH_mulliken,[169.3833:169.3833:],169.3833,168.8,0.5833
163_NWChem_1JCH_mulliken,[209.6785:],209.6785,209.1,0.5785
78_NWChem_1JCH_mulliken,[154.449:],154.449,154,0.449
121_NWChem_1JCH_mulliken,[191.6148:],191.6148,191.2,0.4148
116_NWChem_1JCH_mulliken,[200.6042:],200.6042,200.2,0.4042
132_NWChem_1JCH_mulliken,[156.3749:156.3821:],156.3785,156,0.3785
170_NWChem_1JCH_mulliken,[159.3313:],159.3313,159,0.3313
107_NWChem_1JCH_mulliken,[162.6158:],162.6158,162.3,0.3158
152_NWChem_1JCH_mulliken,[170.0705:],170.0705,169.8,0.2705
172_NWChem_1JCH_mulliken,[159.0685:],159.0685,158.8,0.2685
177_NWChem_1JCH_mulliken,[158.6519:158.6519:],158.6519,158.4,0.2519
171_NWChem_1JCH_mulliken,[156.3449:156.2804:],156.31265,156.1,0.21265
107_NWChem_1JCH_mulliken,[156.7962:],156.7962,156.6,0.1962
158_NWChem_1JCH_mulliken,[194.471:],194.471,194.3,0.171
126_NWChem_1JCH_mulliken,[158.5497:158.5487:158.5487:158.5497:158.5487:158.5487:],158.5490333,158.4,0.1490333
106_NWChem_1JCH_mulliken,[156.2278:],156.2278,156.1,0.1278
106_NWChem_1JCH_mulliken,[156.227:],156.227,156.1,0.127
106_NWChem_1JCH_mulliken,[156.225:],156.225,156.1,0.125
106_NWChem_1JCH_mulliken,[156.223:],156.223,156.1,0.123
169_NWChem_1JCH_mulliken,[160.6497:],160.05635,160,0.05635
172_NWChem_1JCH_mulliken,[157.6312:157.6312:],157.6312,157.6,0.0312
172_NWChem_1JCH_mulliken,[155.9207:155.9207:],155.9207,155.9,0.0207
96_NWChem_1JCH_mulliken,[159.409:159.4071:],159.40805,159.4,0.00805
208_NWChem_1JCH_mulliken,[191.1749:],191.1749,191.2,-0.0251
170_NWChem_1JCH_mulliken,[160.9666:],160.9666,161,-0.0334
168_NWChem_1JCH_mulliken,[159.9254:],159.9661,160,-0.0339
175_NWChem_1JCH_mulliken,[156.8602:156.8602:],156.8602,156.9,-0.0398
166_NWChem_1JCH_mulliken,[172.3403:],172.3403,172.4,-0.0597
168_NWChem_1JCH_mulliken,[158.1879:],163.94015,164,-0.05985
124_NWChem_1JCH_mulliken,[226.1387:],226.1387,226.2,-0.0613
171_NWChem_1JCH_mulliken,[158.033:],158.033,158.1,-0.067
173_NWChem_1JCH_mulliken,[165.2222:165.2222:],165.2222,165.3,-0.0778
146_NWChem_1JCH_mulliken,[177.9209:],177.9209,178,-0.0791
209_NWChem_1JCH_mulliken,[226.0862:],226.0862,226.2,-0.1138
144_NWChem_1JCH_mulliken,[177.8806:],177.8806,178,-0.1194
146_NWChem_1JCH_mulliken,[160.8802:],160.8802,161,-0.1198
181_NWChem_1JCH_mulliken,[161.2565:],161.2565,161.4,-0.1435
77_NWChem_1JCH_mulliken,[152.5333:152.5333:],152.5333,152.7,-0.1667
171_NWChem_1JCH_mulliken,[157.5247:157.5276:],157.52615,157.7,-0.17385
130_NWChem_1JCH_mulliken,[170.8145:170.8145:170.8145:170.8145:],170.8145,171,-0.1855
137_NWChem_1JCH_mulliken,[157.3064:157.3064:],157.3064,157.5,-0.1936
60_NWChem_1JCH_mulliken,[153.2648:],153.2648,153.5,-0.2352
152_NWChem_1JCH_mulliken,[173.6603:],173.6603,173.9,-0.2397
147_NWChem_1JCH_mulliken,[182.2568:182.2568:],182.2568,182.5,-0.2432
79_NWChem_1JCH_mulliken,[149.8467:],149.8467,150.1,-0.2533
162_NWChem_1JCH_mulliken,[173.0369:],173.0369,173.3,-0.2631
150_NWChem_1JCH_mulliken,[207.2019:207.2022:207.2019:],207.202,207.5,-0.298
166_NWChem_1JCH_mulliken,[164.9567:],164.9567,165.3,-0.3433
180_NWChem_1JCH_mulliken,[161.0557:],161.0557,161.4,-0.3443
131_NWChem_1JCH_mulliken,[155.3239:],155.3239,155.7,-0.3761
131_NWChem_1JCH_mulliken,[155.3237:],155.3237,155.7,-0.3763
128_NWChem_1JCH_mulliken,[158.9213:158.9213:158.9213:158.9212:],158.921275,159.3,-0.378725
128_NWChem_1JCH_mulliken,[159.301:159.301:159.301:159.301:],159.301,159.7,-0.399
152_NWChem_1JCH_mulliken,[164.6988:],164.6988,165.1,-0.4012
97_NWChem_1JCH_mulliken,[154.593:154.5997:154.5997:154.593:154.5997:154.593:154.5997:154.593:],154.59635,155,-0.40365
161_NWChem_1JCH_mulliken,[203.0899:],203.0899,203.5,-0.4101
129_NWChem_1JCH_mulliken,[158.5317:158.5317:158.5317:158.5317:],158.5317,159,-0.4683
96_NWChem_1JCH_mulliken,[154.7251:154.7266:],154.72585,155.2,-0.47415
129_NWChem_1JCH_mulliken,[158.3038:158.3038:],158.3038,158.8,-0.4962
127_NWChem_1JCH_mulliken,[158.9719:158.9719:158.9719:158.9719:],158.9719,159.5,-0.5281
148_NWChem_1JCH_mulliken,[165.6711:],165.6711,166.2,-0.5289
180_NWChem_1JCH_mulliken,[160.8688:160.8688:],160.8688,161.4,-0.5312
181_NWChem_1JCH_mulliken,[160.5484:],160.5484,161.1,-0.5516
132_NWChem_1JCH_mulliken,[166.4476:166.4444:],166.446,167,-0.554
132_NWChem_1JCH_mulliken,[166.4473:166.4435:],166.4454,167,-0.5546
98_NWChem_1JCH_mulliken,[159.4454:159.4454:],159.4454,160,-0.5546
133_NWChem_1JCH_mulliken,[160.5395:],160.5395,161.1,-0.5605
131_NWChem_1JCH_mulliken,[151.8178:],151.8178,152.4,-0.5822
127_NWChem_1JCH_mulliken,[158.21:158.21:158.21:158.21:],158.21,158.8,-0.59
177_NWChem_1JCH_mulliken,[159.7953:],159.7953,160.4,-0.6047
133_NWChem_1JCH_mulliken,[161.9827:161.9844:],161.98355,162.6,-0.61645
129_NWChem_1JCH_mulliken,[158.762:158.762:158.762:158.762:],158.762,159.4,-0.638
128_NWChem_1JCH_mulliken,[157.4415:157.4415:],157.4415,158.1,-0.6585
132_NWChem_1JCH_mulliken,[150.3193:150.3247:],150.322,151,-0.678
132_NWChem_1JCH_mulliken,[150.3177:150.323:],150.32035,151,-0.67965
174_NWChem_1JCH_mulliken,[161.2756:161.1449:],161.21025,161.9,-0.68975
146_NWChem_1JCH_mulliken,[160.2613:],160.2613,161,-0.7387
139_NWChem_1JCH_mulliken,[154.1902:154.2062:],154.1982,155,-0.8018
152_NWChem_1JCH_mulliken,[171.9601:],171.9601,172.8,-0.8399
161_NWChem_1JCH_mulliken,[183.6709:],183.6709,184.6,-0.9291
174_NWChem_1JCH_mulliken,[159.4513:],159.4513,160.4,-0.9487
144_NWChem_1JCH_mulliken,[159.041:],159.041,160,-0.959
110_NWChem_1JCH_mulliken,[164.4094:],164.4094,165.4,-0.9906
139_NWChem_1JCH_mulliken,[157.9943:157.9961:],157.9952,159,-1.0048
136_NWChem_1JCH_mulliken,[167.4528:167.4528:],167.4528,168.5,-1.0472
186_NWChem_1JCH_mulliken,[156.4455:],156.4455,157.5,-1.0545
173_NWChem_1JCH_mulliken,[161.2921:],161.2921,162.4,-1.1079
175_NWChem_1JCH_mulliken,[154.8286:154.8286:],154.8286,156,-1.1714
112_NWChem_1JCH_mulliken,[163.8174:163.8174:],163.8174,165,-1.1826
109_NWChem_1JCH_mulliken,[167.806:],167.806,169,-1.194
149_NWChem_1JCH_mulliken,[181.4572:181.4572:181.4572:181.4572:],181.4572,182.7,-1.2428
146_NWChem_1JCH_mulliken,[159.7517:],159.7517,161,-1.2483
169_NWChem_1JCH_mulliken,[159.6683:],159.72995,161,-1.27005
170_NWChem_1JCH_mulliken,[158.7271:],158.7271,160,-1.2729
169_NWChem_1JCH_mulliken,[159.6542:],159.72455,161,-1.27545
173_NWChem_1JCH_mulliken,[162.4239:162.4239:],162.4239,163.7,-1.2761
176_NWChem_1JCH_mulliken,[163.8157:163.8095:],163.8126,165.1,-1.2874
131_NWChem_1JCH_mulliken,[163.0119:],163.0119,164.3,-1.2881
170_NWChem_1JCH_mulliken,[154.6662:],154.6662,156,-1.3338
108_NWChem_1JCH_mulliken,[159.5627:],159.5627,161,-1.4373
144_NWChem_1JCH_mulliken,[159.5208:],159.5208,161,-1.4792
169_NWChem_1JCH_mulliken,[160.4994:],160.46685,162,-1.53315
170_NWChem_1JCH_mulliken,[157.4591:],157.4591,159,-1.5409
170_NWChem_1JCH_mulliken,[154.446:],154.446,156,-1.554
152_NWChem_1JCH_mulliken,[156.4647:],156.4647,158.1,-1.6353
187_NWChem_1JCH_mulliken,[164.5538:],164.5538,166.2,-1.6462
168_NWChem_1JCH_mulliken,[159.4279:],159.3495,161,-1.6505
176_NWChem_1JCH_mulliken,[161.1114:],161.1114,162.8,-1.6886
91_NWChem_1JCH_mulliken,[154.5013:154.5013:],154.5013,156.2,-1.6987
168_NWChem_1JCH_mulliken,[160.7239:],160.2494,162,-1.7506
136_NWChem_1JCH_mulliken,[157.2213:157.2213:],157.2213,159,-1.7787
111_NWChem_1JCH_mulliken,[161.1772:],161.1772,163,-1.8228
168_NWChem_1JCH_mulliken,[162.0062:],162.1732,164,-1.8268
166_NWChem_1JCH_mulliken,[162.4689:],162.4689,164.3,-1.8311
169_NWChem_1JCH_mulliken,[158.1522:],162.1551,164,-1.8449
81_NWChem_1JCH_mulliken,[150.0551:],150.0551,151.9,-1.8449
146_NWChem_1JCH_mulliken,[159.1428:],159.1428,161,-1.8572
165_NWChem_1JCH_mulliken,[211.227:],212.1,214,-1.9
170_NWChem_1JCH_mulliken,[158.0944:],158.0944,160,-1.9056
130_NWChem_1JCH_mulliken,[158.0751:158.0751:158.0751:158.0751:],158.0751,160,-1.9249
200_NWChem_1JCH_mulliken,[159.0685:],159.0685,161,-1.9315
169_NWChem_1JCH_mulliken,[160.08:],160.0456,162,-1.9544
151_NWChem_1JCH_mulliken,[185.4781:],185.4781,187.5,-2.0219
131_NWChem_1JCH_mulliken,[150.3057:],150.3057,152.4,-2.0943
131_NWChem_1JCH_mulliken,[150.3055:],150.3055,152.4,-2.0945
188_NWChem_1JCH_mulliken,[161.3963:161.396:],161.39615,163.5,-2.10385
168_NWChem_1JCH_mulliken,[158.8784:],158.82495,161,-2.17505
119_NWChem_1JCH_mulliken,[166.3609:],166.3609,168.6,-2.2391
188_NWChem_1JCH_mulliken,[161.2438:161.243:],161.2434,163.5,-2.2566
148_NWChem_1JCH_mulliken,[180.4788:180.4788:],180.4788,182.8,-2.3212
144_NWChem_1JCH_mulliken,[159.6557:],159.6557,162,-2.3443
90_NWChem_1JCH_mulliken,[156.0545:156.0545:],156.0545,158.4,-2.3455
146_NWChem_1JCH_mulliken,[160.5255:],160.5255,163,-2.4745
78_NWChem_1JCH_mulliken,[151.9878:],151.9878,154.5,-2.5122
141_NWChem_1JCH_mulliken,[158.4301:],158.4301,161,-2.5699
120_NWChem_1JCH_mulliken,[171.1227:],171.1227,173.7,-2.5773
182_NWChem_1JCH_mulliken,[196.8178:196.8178:],196.8178,199.5,-2.6822
144_NWChem_1JCH_mulliken,[159.2792:],159.2792,162,-2.7208
144_NWChem_1JCH_mulliken,[162.2413:],162.2413,165,-2.7587
165_NWChem_1JCH_mulliken,[181.862:],184.4,187.2,-2.8
166_NWChem_1JCH_mulliken,[160.057:],160.057,162.9,-2.843
137_NWChem_1JCH_mulliken,[158.9349:158.9349:],158.9349,162,-3.0651
80_NWChem_1JCH_mulliken,[161.8217:],161.8217,165,-3.1783
166_NWChem_1JCH_mulliken,[161.0369:],161.0369,164.3,-3.2631
118_NWChem_1JCH_mulliken,[169.1196:],169.1196,172.4,-3.2804
152_NWChem_1JCH_mulliken,[151.7314:],151.7314,155.1,-3.3686
166_NWChem_1JCH_mulliken,[160.8096:],160.8096,164.3,-3.4904
151_NWChem_1JCH_mulliken,[184.4652:],184.4652,188,-3.5348
184_NWChem_1JCH_mulliken,[176.5412:],176.5412,180.5,-3.9588
125_NWChem_1JCH_mulliken,[262.5094:],262.5094,267,-4.4906
92_NWChem_1JCH_mulliken,[150.4357:152.2995:],151.3676,156,-4.6324
147_NWChem_1JCH_mulliken,[165.2022:165.2022:],165.2022,169.9,-4.6978
112_NWChem_1JCH_mulliken,[177.254:177.254:],177.254,182,-4.746
108_NWChem_1JCH_mulliken,[157.2348:],157.2348,162,-4.7652
110_NWChem_1JCH_mulliken,[171.8438:],171.8438,176.7,-4.8562
104_NWChem_1JCH_mulliken,[211.1446:211.1446:],211.1446,230,-18.8554
