rowID,Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
14,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a8,FALSE,TRUE,6.20195,2,6.642,0,0,7.611835616,SP3,0.88821,4.0465,7.342112759,144.8073,144.8073,1.091098897,144.1,20.4268615,35.79249648,127.4047448,28.10967899
15,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a9,FALSE,TRUE,6.09739,3,7.327,0,0,7.780462193,SP3,0.89297,4.389,7.383541955,153.5552,153.5552,1.088599898,155,42.39415161,42.39415161,137.1549086,23.91933287
16,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a8,FALSE,TRUE,6.10157,3,6.94,0,0,7.837400545,SP3,0.89159,4.1955,7.386983846,168.3061,168.3061,1.082338244,168.8,54.69755332,54.69755332,124.9892777,52.99433913
17,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a12,FALSE,TRUE,6.10924,3,6.787,0,0,7.760344158,SP3,0.89033,4.119,7.36616056,206.3418,206.4379,1.07979257,205.2,115.3729811,115.3729811,145.0742355,47.71180619
18,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a7,FALSE,TRUE,6.10911,3,6.787,0,0,7.760344158,SP3,0.8904,4.119,7.36616056,206.534,206.4379,1.079750795,205.2,115.348608,115.348608,145.1939543,47.70385469
19,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a16,FALSE,FALSE,6.1824,2,7.097875,0,0,7.500560113,SP3,0.9144,4.2744375,7.33433776,122.4474,123.1538625,1.097066147,124.5,-2.988880626,13.22747016,119.6738269,2.846964385
20,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a10,FALSE,FALSE,6.18632,2,7.097875,0,0,7.500560113,SP3,0.90534,4.2744375,7.33433776,122.6479,123.1538625,1.096329063,124.5,-6.181485777,9.718332245,118.4898542,1.069716418
21,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a15,FALSE,FALSE,6.1824,2,7.097875,0,0,7.500560113,SP3,0.89825,4.2744375,7.33433776,122.6737,123.1538625,1.094864625,124.5,-8.371594947,8.890010833,117.8603144,0.259207943
22,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a18,FALSE,FALSE,6.1946,2,7.097875,0,0,7.500560113,SP3,0.91741,4.2744375,7.33433776,122.736,123.1538625,1.095277989,124.5,-4.108168267,12.54921874,119.2440893,2.992703162
23,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a17,FALSE,FALSE,6.1946,2,7.097875,0,0,7.500560113,SP3,0.89602,4.2744375,7.33433776,122.9275,123.1538625,1.095163833,124.5,-7.894475928,9.699187076,117.6196367,0.902355574
24,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a11,FALSE,FALSE,6.18679,2,7.097875,0,0,7.500560113,SP3,0.9177,4.2744375,7.33433776,123.3249,123.1538625,1.093206112,124.5,-4.018512547,7.372710862,119.9353541,1.677099157
25,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a9,FALSE,FALSE,6.18632,2,7.097875,0,0,7.500560113,SP3,0.90684,4.2744375,7.33433776,123.8484,123.1538625,1.096027604,124.5,-4.926729978,10.97308804,119.6012625,2.28336099
26,11_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a12,FALSE,FALSE,6.18679,2,7.097875,0,0,7.500560113,SP3,0.8939,4.2744375,7.33433776,124.6251,123.1538625,1.093877931,124.5,-4.962104109,5.333489027,118.8886851,0.185692459
27,118_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a6,FALSE,FALSE,6.34566,1,4.0185,0,0,7.8964061,SP3,0.87744,2.73475,7.358540826,123.5315,127.1015,1.095039331,127,-2.229941142,2.248867638,121.9427797,0.009463248
28,118_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a7,FALSE,FALSE,6.34566,1,4.0185,0,0,7.8964061,SP3,0.87743,2.73475,7.358540826,123.5426,127.1015,1.095030677,127,-2.223371655,2.238767941,121.9416155,0.007698143
29,118_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a5,FALSE,FALSE,6.34566,1,4.0185,0,0,7.8964061,SP3,0.86551,2.73475,7.358540826,134.2304,127.1015,1.089172524,127,2.921007575,2.921007575,125.0255362,2.903846184
30,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a11,FALSE,FALSE,6.18516,2,7.27925,0,0,7.500560113,SP3,0.90289,4.365125,7.33433776,121.835,123.1037667,1.095672172,124,-7.733558746,8.153615482,118.4808532,0.210028368
31,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a14,FALSE,FALSE,6.19537,2,7.27925,0,0,7.500560113,SP3,0.91417,4.365125,7.33433776,122.2067,123.1037667,1.096013799,124,-4.602841972,10.40701414,118.8879949,2.103523597
32,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a12,FALSE,FALSE,6.1862,2,7.27925,0,0,7.500560113,SP3,0.91771,4.365125,7.33433776,122.8337,123.1037667,1.094651564,124,-3.58000018,12.52193948,119.1945595,2.631633403
33,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a17,FALSE,FALSE,6.17956,2,7.27925,0,0,7.500560113,SP3,0.92031,4.365125,7.33433776,122.9596,123.1037667,1.09309658,124,-3.244792746,6.966371737,120.2077088,1.50376037
34,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a13,FALSE,FALSE,6.1862,2,7.27925,0,0,7.500560113,SP3,0.89583,4.365125,7.33433776,123.0339,123.1037667,1.09411826,124,-8.215054262,9.032672,117.6293136,0.408808869
35,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a15,FALSE,FALSE,6.19537,2,7.27925,0,0,7.500560113,SP3,0.89406,4.365125,7.33433776,123.3359,123.1037667,1.094432644,124,-6.523522895,8.67277853,118.1695492,1.074627817
36,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a18,FALSE,FALSE,6.19584,2,7.27925,0,0,7.500560113,SP3,0.90523,4.365125,7.33433776,123.611,123.1037667,1.096397584,124,-4.389417514,7.014699192,120.379619,0.803400275
37,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a10,FALSE,FALSE,6.18516,2,7.27925,0,0,7.500560113,SP3,0.91125,4.365125,7.33433776,123.7765,123.1037667,1.096916237,124,-3.395572313,12.3702848,120.0722071,2.436489967
38,12_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a16,FALSE,FALSE,6.17956,2,7.27925,0,0,7.500560113,SP3,0.89434,4.365125,7.33433776,124.3416,123.1037667,1.094173317,124,-5.66865319,5.752354641,119.1843376,0.041850726
39,13_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a16,FALSE,FALSE,6.17141,2,7.3699375,0,0,7.500560113,SP3,0.92669,4.41046875,7.33433776,122.5426,123.37944,1.093106427,124.3,-3.654124644,8.781928882,119.9034365,1.7195135
40,13_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a12,FALSE,FALSE,6.20003,2,7.3699375,0,0,7.500560113,SP3,0.90998,4.41046875,7.33433776,123.3393,123.37944,1.095672975,124.3,-3.887368849,10.13513626,119.4633393,1.766252726
41,13_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a17,FALSE,FALSE,6.19141,2,7.3699375,0,0,7.500560113,SP3,0.90549,4.41046875,7.33433776,123.381,123.37944,1.096353364,124.3,-4.794737795,8.028778792,120.0309791,0.945511371
42,13_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a11,FALSE,FALSE,6.20003,2,7.3699375,0,0,7.500560113,SP3,0.89582,4.41046875,7.33433776,123.4692,123.37944,1.093881517,124.3,-6.750634209,8.05290625,118.6854899,0.65113602
43,13_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a15,FALSE,FALSE,6.17141,2,7.3699375,0,0,7.500560113,SP3,0.89488,4.41046875,7.33433776,124.1651,123.37944,1.094271236,124.3,-6.408609264,6.700600558,118.7992909,0.145995647
44,136_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C2([H])([H]),11,FALSE,TRUE,6.26279,2,6.94725,0,0,7.962751845,SP3,0.88392,4.199125,7.39489816,170.0462,170.06625,1.089535732,170,36.27214165,76.19249354,123.3589686,56.23231759
45,136_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C2([H])([H]),12,FALSE,TRUE,6.26279,2,6.94725,0,0,7.962751845,SP3,0.88389,4.199125,7.39489816,170.0863,170.06625,1.089531931,170,36.28085228,76.18378291,123.3640479,56.23231759
46,137_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C2([H])([H]),13,FALSE,TRUE,6.25138,2,7.1209375,0,0,7.76597117,SP3,0.89079,4.28596875,7.366871865,137.3276,137.33695,1.092350426,138,11.74176859,34.34489414,125.5978291,23.04333137
47,137_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C2([H])([H]),12,FALSE,TRUE,6.25138,2,7.1209375,0,0,7.76597117,SP3,0.89078,4.28596875,7.366871865,137.3463,137.33695,1.092336193,138,11.74898043,34.3376823,125.6031988,23.04333137
48,138_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C([H])([H])C2([H])([H]),13,FALSE,FALSE,6.23572,2,7.8464375,0,0,7.732358995,SP3,0.8948,4.64871875,7.364980304,126.0853,128.9094,1.096787657,127,-0.659118725,13.25275495,124.2697855,6.296818113
49,138_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C([H])([H])C2([H])([H]),14,FALSE,FALSE,6.23572,2,7.8464375,0,0,7.732358995,SP3,0.89254,4.64871875,7.364980304,131.7335,128.9094,1.092697189,127,4.282566973,8.311069252,126.4050192,6.296818113
50,139_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C([H])([H])C([H])([H])C2([H])([H]),14,FALSE,FALSE,6.22325,2,8.2091875,0,0,7.729759141,SP3,0.89512,4.83009375,7.36492261,123.5912,125.362625,1.097610097,126,-4.939044843,5.008983371,120.2674992,0.034969264
51,139_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C([H])([H])C([H])([H])C2([H])([H]),20,FALSE,FALSE,6.22321,2,8.2091875,0,0,7.729759141,SP3,0.89508,4.83009375,7.36492261,123.5999,125.362625,1.097592605,126,-4.939479241,5.055821343,120.2474919,0.058171051
52,139_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C([H])([H])C([H])([H])C2([H])([H]),21,FALSE,FALSE,6.22321,2,8.2091875,0,0,7.729759141,SP3,0.89263,4.83009375,7.36492261,127.1182,125.362625,1.094162261,126,-2.383154963,5.65093841,120.9161005,1.014077098
53,139_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C([H])([H])C([H])([H])C2([H])([H]),15,FALSE,FALSE,6.22325,2,8.2091875,0,0,7.729759141,SP3,0.89272,4.83009375,7.36492261,127.1412,125.362625,1.09414714,126,-2.330082772,5.608055694,120.9494406,1.010310105
54,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a13,FALSE,FALSE,6.21933,2,6.771375,0,0,7.502806498,SP3,0.90953,4.1111875,7.334381021,122.6669,125.342125,1.096159566,126,-1.957691365,2.483530625,122.1891657,0.26291963
55,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a15,FALSE,FALSE,6.18349,2,6.989,0,0,7.528233299,SP3,0.90925,4.22,7.335911574,123.3063,125.4244,1.096397157,123,-5.469905325,5.469905325,120.5612147,4.9E-324
56,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a10,FALSE,FALSE,6.18158,2,6.771375,0,0,7.502806498,SP3,0.91127,4.1111875,7.334381021,123.853,125.342125,1.096411874,126,-3.448898827,3.448898827,121.517304,4.9E-324
57,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a9,FALSE,FALSE,6.21262,2,6.989,0,0,7.528233299,SP3,0.89491,4.22,7.335911574,124.9139,125.4244,1.093491193,123,-3.762652006,4.54697002,121.0614618,0.392159007
58,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a8,FALSE,FALSE,6.21262,2,6.989,0,0,7.528233299,SP3,0.90456,4.22,7.335911574,125.8642,125.4244,1.095651217,123,-3.501835175,4.573113165,120.9064897,0.356500546
59,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a11,FALSE,FALSE,6.18158,2,6.771375,0,0,7.502806498,SP3,0.89535,4.1111875,7.334381021,126.9033,125.342125,1.094113291,126,-1.528250584,3.041651996,122.0389823,0.756700706
60,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a14,FALSE,FALSE,6.18349,2,6.989,0,0,7.528233299,SP3,0.89842,4.22,7.335911574,127.6132,125.4244,1.095502677,123,-1.386032368,6.704812432,121.8193047,1.356657302
61,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a12,FALSE,FALSE,6.21933,2,6.771375,0,0,7.502806498,SP3,0.89032,4.1111875,7.334381021,127.9453,125.342125,1.093797208,126,-2.485826691,2.485826691,121.7185793,4.9E-324
62,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a19,FALSE,TRUE,6.25895,2,6.5295,0,0,7.555804416,SP3,0.90628,3.99025,7.337486155,157.1217,158.54945,1.084600835,158,31.1279101,67.14225948,122.4370532,49.13508479
63,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a16,FALSE,TRUE,6.08445,3,7.42425,0,0,7.637830362,SP3,0.88478,4.437625,7.357526537,158.4431,159.1736,1.085497129,160,26.68925139,72.14079121,119.7143902,49.4150213
64,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a17,FALSE,TRUE,6.08964,3,7.42425,0,0,7.637830362,SP3,0.88368,4.437625,7.357526537,159.9041,159.1736,1.084493946,160,28.48879639,71.23099143,119.748841,49.85989391
65,14_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a18,FALSE,TRUE,6.25895,2,6.5295,0,0,7.555804416,SP3,0.88159,3.99025,7.337486155,159.9772,158.54945,1.083498249,158,32.813981,65.45618857,123.4661724,49.13508479
66,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a9,FALSE,TRUE,6.20837,2,5.90075,0,0,7.530418288,SP3,0.89758,3.675875,7.335954519,135.0929,135.2793,1.093600036,140,13.91107889,26.23020345,128.6787005,20.07064117
67,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a7,FALSE,TRUE,6.20743,2,5.90075,0,0,7.530418288,SP3,0.89761,3.675875,7.335954519,135.1703,135.2793,1.093609046,140,14.1179413,25.99428366,128.8445079,20.05611248
68,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a6,FALSE,TRUE,6.20743,2,5.90075,0,0,7.530418288,SP3,0.89782,3.675875,7.335954519,135.3687,135.2793,1.090469444,140,6.057349759,34.0548752,122.4717187,20.05611248
69,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a8,FALSE,TRUE,6.20837,2,5.90075,0,0,7.530418288,SP3,0.89762,3.675875,7.335954519,135.4853,135.2793,1.090424512,140,6.270184597,33.87109774,122.637456,20.07064117
70,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a13,FALSE,TRUE,6.22105,2,5.804,0,0,7.55580554,SP3,0.8853,3.6275,7.337486155,153.4531,158.75145,1.084080731,160,26.45425199,69.71837078,119.8415469,48.08631138
71,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a12,FALSE,TRUE,6.22105,2,5.804,0,0,7.55580554,SP3,0.90183,3.6275,7.337486155,164.0498,158.75145,1.087251611,160,36.35742007,59.81520269,125.9066523,48.08631138
72,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a10,FALSE,TRUE,6.10273,3,6.336,0,0,7.637894788,SP3,0.88998,3.8935,7.357526905,178.0699,178.10585,1.082485621,176,68.1751485,69.90960624,131.3825023,50.16483442
73,15_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C12([H]))),a11,FALSE,TRUE,6.10265,3,6.336,0,0,7.637894788,SP3,0.89003,3.8935,7.357526905,178.1418,178.10585,1.082469395,176,68.26228122,69.80728231,131.4203415,50.1588542
74,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a12,FALSE,FALSE,6.18724,2,6.62625,0,0,7.528296249,SP3,0.90573,4.038625,7.33591194,125.6414,128.182275,1.094918666,130,-1.964397283,11.02085424,123.4217159,4.528228477
75,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a7,FALSE,FALSE,6.1875,2,6.62625,0,0,7.528296249,SP3,0.90565,4.038625,7.33591194,125.6811,128.182275,1.094890801,130,-1.906827046,10.95314226,123.443234,4.523157609
76,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a9,FALSE,FALSE,6.23933,2,6.36025,0,0,7.504926229,SP3,0.89886,3.905625,7.334423553,127.0986,129.0008,1.092371547,130,-1.562865086,10.00336737,123.8657177,4.220251142
77,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a8,FALSE,FALSE,6.1875,2,6.62625,0,0,7.528296249,SP3,0.89587,4.038625,7.33591194,130.6917,128.182275,1.09396431,130,4.144610925,5.966557013,125.713089,4.523157609
78,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a11,FALSE,FALSE,6.18724,2,6.62625,0,0,7.528296249,SP3,0.89589,4.038625,7.33591194,130.7149,128.182275,1.093953212,130,4.208824563,5.976166563,125.729769,4.528228477
79,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a10,FALSE,FALSE,6.23933,2,6.36025,0,0,7.504926229,SP3,0.88851,3.905625,7.334423553,130.903,129.0008,1.091704729,130,2.88152811,5.558974174,125.380612,4.220251142
80,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a15,FALSE,TRUE,6.25249,2,6.16675,0,0,7.555804416,SP3,0.88034,3.808875,7.337486155,157.965,158.88635,1.083252761,161,29.54105607,68.98455145,121.6391698,49.26280376
81,16_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C([H])([H])C2([H])(C1([H])([H])))),a16,FALSE,TRUE,6.25249,2,6.16675,0,0,7.555804416,SP3,0.90404,3.808875,7.337486155,159.8077,158.88635,1.084381295,161,34.22546009,64.30014743,124.4873821,49.26280376
